de,en,example,tags,notes
das Zelt,tent,"Wir schliefen im Zelt auf dem Campingplatz.",,
das Lagerfeuer,campfire,"Am Abend saßen wir am Lagerfeuer.",,
begleiten,to accompany,"Kann ich dich nach Hause begleiten?",,
schaffen,to manage,"Ich bin sicher, du wirst es schaffen.",,
bestimmt,definitely,"Das ist bestimmt die richtige Antwort.",,
verbunden mit,associated with,"Dieses Ereignis ist mit vielen Erinnerungen verbunden.",,
der Austausch,exchange,"Der kulturelle Austausch zwischen den Ländern ist wichtig.",,
ausgeben,to spend,"Ich möchte nicht zu viel Geld ausgeben.",,
her,ago,"Das ist schon lange her.",,
beschäftigt,busy,"Ich bin heute sehr beschäftigt.",,
entwickeln,to develop,"Wir müssen neue Strategien entwickeln.",,
enttäuschen,to disappoint,"Ich will dich nicht enttäuschen.",,
die Stimmung,mood,"Die Stimmung auf der Party war großartig.",,
verantwortlich für,responsible for,"Er ist für das Projekt verantwortlich.",,
ausziehen,"to move out","Sie ist letzten Monat aus der Wohnung ausgezogen.",,
herrschen,to rule,"Der König herrschte über ein großes Reich.",,
beherrschen,to master,"Sie beherrscht mehrere Sprachen.",,
vorschriftswidrig,against the rules,"Das Parken hier ist vorschriftswidrig.",,
sicherlich,certainly,"Er wird sicherlich pünktlich sein.",,
erreichen,to reach,"Wir werden unser Ziel bald erreichen.",,
die Lieferung,delivery,"Die Lieferung kommt morgen an.",,
der Lieferant,supplier,"Der Lieferant brachte die bestellten Waren.",,
der Unterschied,difference,"Was ist der Unterschied zwischen diesen beiden Wörtern?",,
die Regierung,government,"Die Regierung hat neue Gesetze erlassen.",,
faul,lazy,"Am Sonntag bin ich oft faul.",,
es kommt darauf an,"it depends","Ob wir gehen, kommt darauf an, wie das Wetter ist.",,
glauben,to believe,"Ich glaube, dass alles gut wird.",,
die Erde,Earth,"Die Erde ist unser Heimatplanet.",,
sich vorbereiten,to prepare oneself,"Ich muss mich auf das Interview vorbereiten.",,
die Verändern,to change,"Wir müssen unsere Pläne verändern.",,
die Wahrheit,truth,"Sag mir die Wahrheit.",,
das Gebäude,building,"Das ist ein sehr hohes Gebäude.",,
die Zeitverschwendung,"waste of time","Stundenlanges Fernsehen ist Zeitverschwendung.",,
kämpfen,to fight,"Die Soldaten kämpfen für ihr Land.",,
billig,cheap,"Diese Schuhe waren sehr billig.",,
günstig,affordable,"Das Hotel war günstig und gut.",,
entscheiden,to decide,"Ich kann mich nicht entscheiden, was ich essen soll.",,
das Dorf,village,"Sie lebt in einem kleinen Dorf auf dem Land.",,
die Blumen giesen,"to water the flowers","Ich muss heute die Blumen giesen.",,
die Strecke,route,"Die Strecke ist 10 Kilometer lang.",,
langweilig,boring,"Der Film war sehr langweilig.",,
im Vergleich,in comparison,"Im Vergleich zu gestern ist es heute wärmer.",,
das Hemd,shirt,"Er trägt ein weißes Hemd.",,
"einnutzen/einsätzen",to implement,"Wir müssen die neue Software einsetzen.",,
die Verantwortung,responsibility,"Eltern haben eine große Verantwortung für ihre Kinder.",,
dreckig,dirty,"Deine Schuhe sind dreckig.",,
sich wagen,to dare,"Er wagt es nicht, die Wahrheit zu sagen.",,
unterschiedlich,different,"Wir haben unterschiedliche Meinungen.",,
verlieren,to lose,"Ich will dieses Spiel nicht verlieren.",,
eigene Firma,own company,"Er hat seine eigene Firma gegründet.",,
das Eigentum,property,"Dieses Haus ist mein Eigentum.",,
das Aussehen,appearance,"Das Aussehen ist nicht alles.",,
woauchimmer,wherever,"Woauchimmer du hingest, ich werde dir folgen.",,
aufregend,exciting,"Die Reise war sehr aufregend.",,
bar zahlen,"to pay in cash","Ich möchte bitte bar zahlen.",,
das Gesetz,law,"Man muss sich an das Gesetz halten.",,
die Meisten,most,"Die meisten Leute mögen Pizza.",,
dick,fat,"Die Katze ist ein bisschen zu dick.",,
reich,rich,"Er ist ein sehr reicher Mann.",,
sparen,to save,"Ich spare Geld für ein neues Auto.",,
die Karte,map,"Wir brauchen eine Karte, um den Weg zu finden.",,
die Brille,glasses,"Ich brauche eine Brille zum Lesen.",,
die Kreuzung,intersection,"An der nächsten Kreuzung müssen wir links abbiegen.",,
entlang,along,"Wir gingen den Fluss entlang.",,
der Fluss,river,"Der Rhein ist ein großer Fluss in Deutschland.",,
das Gefängnis,prison,"Der Dieb wurde ins Gefängnis geschickt.",,
das Amt,office,"Ich muss morgen zum Amt gehen.",,
anfordern,to request,"Sie können weitere Informationen per E-Mail anfordern.",,
spülen,to wash,"Bitte spül das Geschirr.",,
trocknen,to dry,"Ich muss meine Haare trocknen.",,
bestechen,to bribe,"Es ist illegal, einen Beamten zu bestechen.",,
beide,both,"Beide Antworten sind richtig.",,
der Umzug,the move,"Der Umzug in die neue Wohnung war anstrengend.",,
borgen,to borrow,"Kann ich mir dein Buch borgen?",,
die Entscheidung,decision,"Das war eine schwierige Entscheidung.",,
sicher,safe,"In dieser Stadt fühle ich mich sicher.",,
ruhig,calm,"Bitte sei ruhig, das Baby schläft.",,
ansprechen,to address someone,"Er hat mich auf der Straße angesprochen.",,
der Fall,case,"Das ist ein komplizierter Fall.",,
die Werbung,advertisement,"Ich sehe nicht gerne Werbung im Fernsehen.",,
gewöhnt,used to,"Ich bin an das kalte Wetter gewöhnt.",,
die Wirtschaft,economy,"Die Wirtschaft des Landes wächst.",,
die Sonnenstrahlen,sunbeams,"Die Sonnenstrahlen wärmen mein Gesicht.",,
der Stiefel,boot,"Ich brauche neue Stiefel für den Winter.",,
der Mond,moon,"Der Mond scheint heute Nacht hell.",,
gegenüber,opposite,"Die Bank ist gegenüber dem Supermarkt.",,
aufmerksam,attentive,"Die Schüler hörten dem Lehrer aufmerksam zu.",,
der Herrscher,ruler,"Der Herrscher war bei seinem Volk sehr beliebt.",,
das Königreich,kingdom,"Der König regierte über ein großes Königreich.",,
der Angriff,attack,"Der Angriff kam unerwartet.",,
auswählen,to select,"Du kannst ein Buch aus der Liste auswählen.",,
die Feder,feather,"Der Vogel hat eine Feder verloren.",,
der Gegner,opponent,"Er war ein fairer Gegner im Wettkampf.",,
mächtig,powerful,"Der König war ein sehr mächtiger Mann.",,
zeigen,to show,"Kannst du mir den Weg zum Bahnhof zeigen?",,
abnehmen,to lose weight,"Ich möchte ein paar Kilo abnehmen.",,
die Süsigkeiten,sweets,"Kinder essen gerne Süsigkeiten.",,
das Merkmal,feature,"Ein wichtiges Merkmal dieses Autos ist seine Sicherheit.",,
teilen,to share,"Wir sollten den Kuchen teilen.",,
das Einzelkind,only child,"Als Einzelkind hatte sie keine Geschwister.",,
die Ausgabe,expense,"Wir müssen unsere Ausgaben reduzieren.",,
ersetzen,to replace,"Wir müssen die alte Batterie ersetzen.",,
die Gesundheit,health,"Gesundheit ist das wichtigste Gut.",,
die Studie,study,"Eine neue Studie zeigt die Vorteile von Sport.",,
schließen,to close,"Bitte schließ die Tür.",,
der Sinn,sense,"Was ist der Sinn des Lebens?",,
die Hochzeit,wedding,"Ihre Hochzeit war ein wunderschönes Fest.",,
aufnehmen,to record,"Ich möchte dieses Lied aufnehmen.",,
die Fahne,flag,"Die deutsche Fahne ist schwarz-rot-gold.",,
das Wappen,coat of arms,"Jedes Land hat sein eigenes Wappen.",,
der Adler,eagle,"Der Adler ist ein majestätischer Vogel.",,
der Spiegel,mirror,"Sie schaute in den Spiegel.",,
genug,enough,"Ich habe genug Geld.",,
gießen,to pour,"Kannst du mir bitte Wasser ins Glas gießen?",,
die Tasse,cup,"Ich trinke eine Tasse Tee.",,
nun,now,"Was sollen wir nun tun?",,
der Zuschauer,spectator,"Die Zuschauer applaudierten begeistert.",,
das Weltall,space,"Astronauten fliegen ins Weltall.",,
zerstören,to destroy,"Das Feuer hat das ganze Haus zerstört.",,
die Börse,stock exchange,"Die Kurse an der Börse sind gefallen.",,
aufwachsen,to grow up,"Ich bin auf dem Land aufgewachsen.",,
auftreten,to appear,"Die Band wird heute Abend live auftreten.",,
der Lohn,wage,"Er bekommt einen guten Lohn für seine Arbeit.",,
die Vorlesung,lecture,"Die Vorlesung des Professors war sehr interessant.",,
vergessen,to forget,"Ich habe meinen Schlüssel vergessen.",,
die Seite,page,"Bitte schlagen Sie Seite 20 auf.",,
ins schleudern geraten,to skid,"Das Auto geriet auf der glatten Straße ins Schleudern.",,
die Haube,bonnet,"Der Motor befindet sich unter der Haube.",,
leisten,to afford,"Das kann ich mir nicht leisten.",,
die Einstellung,attitude,"Er hat eine positive Einstellung zum Leben.",,
eintreten,to enter,"Bitte treten Sie ein.",,
das Ziel,goal,"Unser Ziel ist es, das Projekt bis Freitag abzuschließen.",,
gründen,to found,"Er hat eine neue Firma gegründet.",,
"Vor- und Nachteil","advantage and disadvantage","Jede Sache hat ihre Vor- und Nachteile.",,
die Sehenswürdigkeit,sightseeing attraction,"Das Brandenburger Tor ist eine berühmte Sehenswürdigkeit.",,
beissen,to bite,"Der Hund hat mich gebissen.",,
verbessern,to improve,"Ich möchte mein Deutsch verbessern.",,
nicht ausreichend,insufficient,"Seine Kenntnisse sind für diese Aufgabe nicht ausreichend.",,
verursachen,to cause,"Der Sturm hat große Schäden verursacht.",,
die Wahrscheinlichkeit,probability,"Die Wahrscheinlichkeit, im Lotto zu gewinnen, ist sehr gering.",,
das Gehirn,brain,"Das Gehirn ist das Zentrum des Nervensystems.",,
dumm,stupid,"Das war eine dumme Frage.",,
nutzlos,useless,"Dieses alte Handy ist nutzlos.",,
die Frage,question,"Haben Sie eine Frage?",,
vorhaben,to plan,"Was hast du am Wochenende vor?",,
anbieten,to offer,"Darf ich Ihnen einen Kaffee anbieten?",,
ein Behälter,container,"Dieser Behälter ist für Lebensmittel.",,
der Becher,cup,"Er trinkt aus einem Plastikbecher.",,
das Gerät,device,"Dieses Gerät ist sehr einfach zu bedienen.",,
das Getränk,drink,"Was ist dein Lieblingsgetränk?",,
die Bohne,bean,"Ich esse gerne grüne Bohnen.",,
die Stimme,voice,"Sie hat eine wunderschöne Stimme.",,
die Aufnahme,recording,"Die Aufnahmequalität ist sehr gut.",,
überzeugt,convinced,"Ich bin überzeugt, dass das die richtige Entscheidung ist.",,
peinlich,embarrassing,"Das war eine sehr peinliche Situation.",,
die Verwechslung,mix-up,"Es muss eine Verwechslung vorliegen.",,
erwarten,to expect,"Ich erwarte einen Anruf von ihm.",,
die Umwelt,environment,"Wir müssen unsere Umwelt schützen.",,
sich anpassen,to adapt,"Man muss sich an neue Situationen anpassen können.",,
in der Lage sein,to be able,"Ich bin nicht in der Lage, das zu tun.",,
"etw. zusätsliches","something additional","Möchten Sie etwas Zusätzliches bestellen?",,
heben,to lift,"Kannst du mir helfen, diesen schweren Tisch zu heben?",,
zumindest,at least,"Er hätte zumindest anrufen können.",,
